time protein1 rna1
0 0 0
10 71.2679 2.208
20 113.7169 1.3306
30 132.9971 0.8434
40 140.0816 0.5794
50 141.2028 0.4495
60 139.5132 0.3868
70 136.7046 0.3507
80 133.5069 0.3334
90 130.2109 0.3233
100 127.1326 0.3246
110 124.2671 0.3162
120 121.4203 0.3153
130 118.8607 0.3178
140 116.7459 0.3279
150 114.9927 0.3327
160 113.5661 0.3374
170 112.5236 0.3394
180 111.6366 0.3476
190 111.1038 0.3611
200 110.7701 0.3563
210 110.4691 0.3602
220 110.2907 0.3604
230 110.1536 0.3714
240 110.1715 0.3734
250 110.3328 0.3764
260 110.5317 0.3757
270 110.7475 0.3765
280 110.9481 0.381
290 111.1197 0.3716
300 110.9746 0.3605
310 110.7235 0.3584
320 110.4899 0.3683
330 110.5952 0.3722
340 110.6908 0.3745
350 110.864 0.3646
360 110.6532 0.3529
