step  Time    model_protein1        model_rna1        target_protein1        target_rna1        
0   0    0.000000   0.000000   0.000000   0.000000   
1   10    73.800003   1.969000   71.267899   2.208000   
2   20    107.153000   1.101000   113.716904   1.330600   
3   30    115.380997   0.732000   132.997101   0.843400   
4   40    115.287003   0.598000   140.081604   0.579400   
5   50    111.663002   0.529000   141.202805   0.449500   
6   60    107.456001   0.519000   139.513199   0.386800   
7   70    104.005997   0.502000   136.704605   0.350700   
8   80    100.793999   0.510000   133.506897   0.333400   
9   90    98.804001   0.537000   130.210907   0.323300   
10   100    99.123001   0.578000   127.132599   0.324600   
11   110    99.357002   0.550000   124.267097   0.316200   
12   120    98.526001   0.551000   121.420303   0.315300   
13   130    97.842003   0.546000   118.860703   0.317800   
14   140    97.302002   0.562000   116.745903   0.327900   
15   150    97.286003   0.531000   114.992699   0.332700   
16   160    96.510002   0.527000   113.566101   0.337400   
17   170    96.670998   0.557000   112.523598   0.339400   
18   180    96.952003   0.567000   111.636597   0.347600   
19   190    97.742996   0.565000   111.103798   0.361100   
20   200    97.663002   0.545000   110.770103   0.356300   
21   210    97.157997   0.548000   110.469101   0.360200   
22   220    97.181999   0.547000   110.290703   0.360400   
23   230    96.125000   0.505000   110.153603   0.371400   
24   240    94.753998   0.520000   110.171501   0.373400   
25   250    93.938004   0.504000   110.332802   0.376400   
26   260    93.607002   0.515000   110.531700   0.375700   
27   270    92.475998   0.512000   110.747498   0.376500   
28   280    92.892998   0.561000   110.948097   0.381000   
29   290    93.192001   0.577000   111.119698   0.371600   
30   300    94.478996   0.569000   110.974602   0.360500   
31   310    94.834000   0.581000   110.723503   0.358400   
32   320    95.780998   0.586000   110.489899   0.368300   
33   330    96.886002   0.530000   110.595200   0.372200   
34   340    96.403999   0.549000   110.690804   0.374500   
35   350    95.730003   0.501000   110.863998   0.364600   
36   360    94.675003   0.511000   110.653198   0.352900   
