time protein1_[0,0]_mean protein1_[0,0]_sd protein1_[0,0]_ci rna1_[0,0]_mean rna1_[0,0]_sd rna1_[0,0]_ci
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10.000000 73.800000 32.796335 2.035166 1.969000 1.177891 0.073094
20.000000 107.153000 47.643399 2.956496 1.101000 0.955883 0.059317
30.000000 115.381000 53.241530 3.303886 0.732000 0.833589 0.051728
40.000000 115.287000 53.104508 3.295384 0.598000 0.743605 0.046144
50.000000 111.663000 49.438220 3.067873 0.529000 0.696882 0.043245
60.000000 107.456000 45.638283 2.832069 0.519000 0.704369 0.043709
70.000000 104.006000 43.379647 2.691910 0.502000 0.684445 0.042473
80.000000 100.794000 41.633748 2.583569 0.510000 0.671081 0.041644
90.000000 98.804000 39.867819 2.473985 0.537000 0.706491 0.043841
100.000000 99.123000 40.087715 2.487631 0.578000 0.755306 0.046870
110.000000 99.357000 41.360612 2.566620 0.550000 0.753703 0.046771
120.000000 98.526000 42.607590 2.644001 0.551000 0.722441 0.044831
130.000000 97.842000 42.857576 2.659513 0.546000 0.726920 0.045109
140.000000 97.302000 42.295126 2.624611 0.562000 0.727107 0.045120
150.000000 97.286000 41.396206 2.568829 0.531000 0.688122 0.042701
160.000000 96.510000 40.369910 2.505142 0.527000 0.705527 0.043781
170.000000 96.671000 40.448397 2.510013 0.557000 0.687913 0.042688
180.000000 96.952000 40.636967 2.521714 0.567000 0.714158 0.044317
190.000000 97.743000 40.930456 2.539927 0.565000 0.732333 0.045445
200.000000 97.663000 41.637545 2.583805 0.545000 0.685890 0.042563
210.000000 97.158000 41.909396 2.600674 0.548000 0.705829 0.043800
220.000000 97.182000 41.491836 2.574763 0.547000 0.700201 0.043451
230.000000 96.125000 41.571307 2.579694 0.505000 0.706027 0.043812
240.000000 94.754000 41.359498 2.566551 0.520000 0.698633 0.043353
250.000000 93.938000 41.010780 2.544911 0.504000 0.660621 0.040995
260.000000 93.607000 39.437189 2.447262 0.515000 0.690110 0.042825
270.000000 92.476000 38.424417 2.384415 0.512000 0.681411 0.042285
280.000000 92.893000 38.084169 2.363301 0.561000 0.720276 0.044697
290.000000 93.192000 38.399527 2.382871 0.577000 0.710335 0.044080
300.000000 94.479000 39.908298 2.476497 0.569000 0.733333 0.045507
310.000000 94.834000 41.310229 2.563493 0.581000 0.715507 0.044401
320.000000 95.781000 41.062747 2.548136 0.586000 0.703633 0.043664
330.000000 96.886000 40.091300 2.487853 0.530000 0.683789 0.042432
340.000000 96.404000 40.056826 2.485714 0.549000 0.714219 0.044321
350.000000 95.730000 39.687734 2.462810 0.501000 0.701777 0.043549
360.000000 94.675000 39.110293 2.426977 0.511000 0.685820 0.042558
