step  Time    model_proteinGFP        target_proteinGFP        
0   0    0.000000   0.000000   
1   10    0.561281   0.052600   
2   20    8.455432   3.567400   
3   30    23.149025   19.753799   
4   40    35.629524   45.929401   
5   50    42.344009   69.476196   
6   60    44.431755   81.934799   
7   70    43.973537   82.604599   
8   80    41.303619   75.737000   
9   90    38.238163   64.286201   
10   100    34.495823   51.751999   
11   110    30.449862   40.025600   
12   120    26.718662   30.084000   
13   130    23.874653   22.040199   
14   140    21.713093   15.900800   
15   150    19.786907   11.391200   
16   160    18.038998   7.994400   
17   170    16.350975   5.516600   
