time proteinGFP_[0,0]_mean proteinGFP_[0,0]_sd proteinGFP_[0,0]_ci
0.000000 0.000000 0.000000 0.000000
10.000000 8.461000 7.195294 0.446502
20.000000 50.836000 22.409312 1.390603
30.000000 85.348000 32.390864 2.010005
40.000000 100.367000 36.482507 2.263910
50.000000 100.427000 35.837788 2.223903
60.000000 92.280000 33.843152 2.100126
70.000000 80.045000 30.608624 1.899409
80.000000 68.426000 27.619619 1.713927
90.000000 57.523000 23.884596 1.482151
100.000000 48.072000 20.777115 1.289317
110.000000 40.531000 18.423150 1.143243
120.000000 34.210000 16.355837 1.014956
130.000000 29.701000 14.887957 0.923867
140.000000 26.225000 13.994721 0.868438
150.000000 22.974000 13.483513 0.836715
160.000000 20.586000 12.900350 0.800527
170.000000 18.546000 12.167577 0.755055
