step  Time    model_pLuxR_s3OC6_2        model_pCI        model_pLacI        model_pFP        target_pLuxR_s3OC6_2        target_pCI        target_pLacI        target_pFP        
0   0    0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   
1   36    0.000000   0.000000   2.000000   0.000000   0.395000   0.058000   1.910200   1.999200   
2   72    0.000000   0.000000   8.000000   0.000000   2.308400   1.081700   9.455900   4.846800   
3   108    0.000000   0.000000   15.000000   0.000000   5.001300   4.224900   21.129499   7.246700   
4   144    0.000000   0.000000   22.000000   0.000000   7.481400   9.522000   36.011398   9.236100   
5   180    0.000000   0.000000   28.000000   0.000000   9.410400   16.185699   52.808102   10.862300   
6   216    0.000000   0.000000   34.000000   0.000000   10.794500   23.409700   69.830902   12.167900   
7   252    0.000000   0.000000   39.000000   0.000000   11.707600   30.361700   85.286003   13.168600   
8   288    0.000000   0.000000   43.000000   0.000000   12.324800   36.621300   98.381897   13.965000   
9   324    0.000000   0.000000   46.000000   0.000000   12.740300   42.132900   108.957901   14.568700   
10   360    0.000000   0.000000   49.000000   0.000000   13.028000   46.816700   117.442497   14.998900   
11   396    0.000000   0.000000   51.000000   0.000000   13.133000   50.918701   123.937500   15.290500   
12   432    0.000000   0.000000   53.000000   0.000000   13.178500   54.402000   128.902206   15.461200   
13   468    0.000000   0.000000   55.000000   0.000000   13.239000   57.494099   132.479797   15.534400   
14   504    0.000000   0.000000   56.000000   0.000000   13.280200   60.396599   134.911102   15.504800   
15   540    0.000000   0.000000   57.000000   0.000000   13.285700   62.953098   136.316605   15.415500   
16   576    0.000000   0.000000   57.000000   0.000000   13.302300   65.359802   136.856400   15.247000   
17   612    0.000000   0.000000   58.000000   0.000000   13.254100   67.475098   136.713501   15.067000   
18   648    0.000000   0.000000   58.000000   0.000000   13.284000   69.523102   135.933807   14.826200   
19   684    0.000000   0.000000   58.000000   0.000000   13.304200   71.531303   134.731003   14.578100   
20   720    0.000000   0.000000   59.000000   0.000000   13.353700   73.414200   133.077698   14.297400   
21   756    0.000000   0.000000   59.000000   0.000000   13.340200   75.233101   131.103897   13.988100   
22   792    0.000000   0.000000   59.000000   0.000000   13.333300   76.985001   128.893295   13.658300   
23   828    0.000000   0.000000   59.000000   0.000000   13.374100   78.795898   126.432404   13.311000   
24   864    0.000000   0.000000   59.000000   0.000000   13.363800   80.407799   123.801697   12.961400   
25   900    0.000000   0.000000   59.000000   0.000000   13.325200   81.874802   121.029900   12.620000   
26   936    0.000000   0.000000   59.000000   0.000000   13.298800   83.424400   118.153801   12.285300   
27   972    0.000000   0.000000   59.000000   0.000000   13.338500   84.998100   115.256104   11.940600   
28   1008    0.000000   0.000000   59.000000   0.000000   13.296100   86.619598   112.310097   11.591200   
29   1044    0.000000   0.000000   59.000000   0.000000   13.270900   88.124802   109.349297   11.244600   
30   1080    0.000000   0.000000   59.000000   0.000000   13.285600   89.587997   106.427399   10.893300   
31   1116    0.000000   0.000000   59.000000   0.000000   13.301200   90.853500   103.490898   10.547700   
32   1152    0.000000   0.000000   59.000000   0.000000   13.317500   92.205299   100.566399   10.212700   
33   1188    0.000000   0.000000   59.000000   0.000000   13.334500   93.416496   97.654800   9.882100   
34   1224    0.000000   0.000000   59.000000   0.000000   13.321400   94.670898   94.854103   9.567400   
35   1260    0.000000   0.000000   59.000000   0.000000   13.316300   96.012199   92.072304   9.256100   
36   1296    0.000000   0.000000   59.000000   0.000000   13.326300   97.364700   89.308701   8.951100   
37   1332    0.000000   0.000000   59.000000   0.000000   13.317000   98.551697   86.639198   8.649300   
38   1368    0.000000   0.000000   59.000000   0.000000   13.310800   99.923401   84.041801   8.364500   
39   1404    0.000000   0.000000   59.000000   0.000000   13.346500   101.187897   81.483498   8.082500   
40   1440    0.000000   0.000000   59.000000   0.000000   13.358700   102.277000   79.003502   7.807600   
41   1476    0.000000   0.000000   59.000000   0.000000   13.341800   103.450600   76.585999   7.528000   
42   1512    0.000000   0.000000   59.000000   0.000000   13.346600   104.567902   74.245102   7.273500   
43   1548    0.000000   0.000000   59.000000   0.000000   13.377800   105.645699   71.946297   7.031500   
44   1584    0.000000   0.000000   59.000000   0.000000   13.343000   106.713303   69.765099   6.793500   
45   1620    0.000000   0.000000   59.000000   0.000000   13.378300   107.700500   67.632401   6.554200   
46   1656    0.000000   0.000000   59.000000   0.000000   13.320500   108.987297   65.541496   6.337000   
47   1692    0.000000   0.000000   59.000000   0.000000   13.334200   110.093597   63.507500   6.127300   
48   1728    0.000000   0.000000   59.000000   0.000000   13.320000   111.273499   61.574100   5.919100   
49   1764    0.000000   0.000000   59.000000   0.000000   13.313000   112.333603   59.698299   5.718100   
50   1800    0.000000   0.000000   59.000000   0.000000   13.308800   113.577301   57.875702   5.524900   
51   1836    0.000000   0.000000   59.000000   0.000000   13.331500   114.352600   56.134701   5.338100   
52   1872    0.000000   0.000000   59.000000   0.000000   13.334200   115.472603   54.426498   5.156200   
53   1908    0.000000   0.000000   59.000000   0.000000   13.349300   116.478203   52.779800   4.970800   
54   1944    0.000000   0.000000   59.000000   0.000000   13.359800   117.432198   51.181000   4.800900   
55   1980    0.000000   0.000000   59.000000   0.000000   13.380600   118.470802   49.644600   4.626400   
56   2016    0.000000   0.000000   59.000000   0.000000   13.400200   119.344498   48.157101   4.468300   
57   2052    0.000000   0.000000   59.000000   0.000000   13.364900   120.400803   46.711700   4.318400   
58   2088    0.000000   0.000000   59.000000   0.000000   13.360900   121.544296   45.313599   4.167400   
59   2124    0.000000   0.000000   59.000000   0.000000   13.362700   122.218597   43.987900   4.021100   
60   2160    0.000000   0.000000   59.000000   0.000000   13.327400   123.313202   42.694801   3.889500   
61   2196    0.000000   0.000000   59.000000   0.000000   13.301900   124.148201   41.457802   3.756700   
62   2232    0.000000   0.000000   59.000000   0.000000   13.358000   125.265404   40.256199   3.628900   
63   2268    0.000000   0.000000   59.000000   0.000000   13.358600   126.007896   39.078098   3.509800   
64   2304    0.000000   0.000000   59.000000   0.000000   13.366200   126.996696   37.949001   3.396200   
65   2340    0.000000   0.000000   59.000000   0.000000   13.308100   128.220306   36.866901   3.282300   
66   2376    0.000000   0.000000   59.000000   0.000000   13.282800   129.063202   35.814701   3.178200   
67   2412    0.000000   0.000000   59.000000   0.000000   13.336500   129.887802   34.782299   3.077100   
68   2448    0.000000   0.000000   59.000000   0.000000   13.282600   130.597595   33.780701   2.976000   
69   2484    0.000000   0.000000   59.000000   0.000000   13.260800   131.441803   32.840099   2.875100   
70   2520    0.000000   0.000000   59.000000   0.000000   13.306700   132.296097   31.916500   2.782900   
71   2556    0.000000   0.000000   59.000000   0.000000   13.318600   133.285004   31.029200   2.694300   
72   2592    0.000000   0.000000   59.000000   0.000000   13.374900   134.297302   30.195299   2.605600   
73   2628    0.000000   0.000000   59.000000   0.000000   13.418200   134.987305   29.385500   2.517800   
74   2664    0.000000   0.000000   59.000000   0.000000   13.389500   135.784607   28.611000   2.432400   
75   2700    0.000000   0.000000   59.000000   0.000000   13.370400   136.572205   27.838800   2.351500   
76   2736    0.000000   0.000000   59.000000   0.000000   13.399200   137.540497   27.109600   2.278000   
77   2772    0.000000   0.000000   59.000000   0.000000   13.383800   138.291107   26.409201   2.197600   
78   2808    0.000000   0.000000   59.000000   0.000000   13.354800   139.306107   25.731100   2.127000   
79   2844    0.000000   0.000000   59.000000   0.000000   13.339500   139.901093   25.060699   2.065800   
80   2880    0.000000   0.000000   59.000000   0.000000   13.336200   140.641006   24.408800   2.003800   
81   2916    0.000000   0.000000   59.000000   0.000000   13.351200   141.571503   23.778799   1.940700   
82   2952    0.000000   0.000000   59.000000   0.000000   13.369900   142.433502   23.184500   1.878100   
83   2988    0.000000   0.000000   59.000000   0.000000   13.318300   143.348602   22.587000   1.819800   
84   3024    0.000000   0.000000   59.000000   0.000000   13.288500   143.973694   22.023899   1.766100   
85   3060    0.000000   0.000000   59.000000   0.000000   13.316500   144.812500   21.481501   1.714900   
86   3096    0.000000   0.000000   59.000000   0.000000   13.286700   145.528107   20.955999   1.666200   
87   3132    0.000000   0.000000   59.000000   0.000000   13.285600   146.371902   20.457800   1.618200   
88   3168    0.000000   0.000000   59.000000   0.000000   13.277400   147.121399   19.986500   1.570700   
89   3204    0.000000   0.000000   59.000000   0.000000   13.358000   147.822098   19.524000   1.528100   
90   3240    0.000000   0.000000   59.000000   0.000000   13.365200   148.528107   19.067301   1.485600   
91   3276    0.000000   0.000000   59.000000   0.000000   13.335500   149.325302   18.630899   1.441300   
92   3312    0.000000   0.000000   59.000000   0.000000   13.368300   150.179092   18.218700   1.398100   
93   3348    0.000000   0.000000   59.000000   0.000000   13.316100   150.933807   17.831699   1.362200   
94   3384    0.000000   0.000000   59.000000   0.000000   13.341100   151.579407   17.457001   1.329800   
95   3420    0.000000   0.000000   59.000000   0.000000   13.328600   152.352295   17.081400   1.293200   
96   3456    0.000000   0.000000   59.000000   0.000000   13.276400   153.021500   16.732300   1.262900   
97   3492    0.000000   0.000000   59.000000   0.000000   13.280600   153.782806   16.384300   1.228900   
98   3528    0.000000   0.000000   59.000000   0.000000   13.264100   154.768906   16.054001   1.202900   
99   3564    0.000000   0.000000   59.000000   0.000000   13.277700   155.078796   15.730800   1.175700   
100   3600    0.000000   0.000000   59.000000   0.000000   13.265900   156.098694   15.429800   1.148400   
