time	pLuxR_s3OC6_2	pCI	pLacI	pFP
0	0	0	0	0
36	0.395	0.058	1.9102	1.9992
72	2.3084	1.0817	9.4559	4.8468
108	5.0013	4.2249	21.129499	7.2467
144	7.4814	9.522	36.011398	9.2361
180	9.4104	16.185699	52.808102	10.8623
216	10.7945	23.4097	69.830902	12.1679
252	11.7076	30.3617	85.286003	13.1686
288	12.3248	36.6213	98.381897	13.965
324	12.7403	42.1329	108.957901	14.5687
360	13.028	46.8167	117.442497	14.9989
396	13.133	50.918701	123.9375	15.2905
432	13.1785	54.402	128.902206	15.4612
468	13.239	57.494099	132.479797	15.5344
504	13.2802	60.396599	134.911102	15.5048
540	13.2857	62.953098	136.316605	15.4155
576	13.3023	65.359802	136.8564	15.247
612	13.2541	67.475098	136.713501	15.067
648	13.284	69.523102	135.933807	14.8262
684	13.3042	71.531303	134.731003	14.5781
720	13.3537	73.4142	133.077698	14.2974
756	13.3402	75.233101	131.103897	13.9881
792	13.3333	76.985001	128.893295	13.6583
828	13.3741	78.795898	126.432404	13.311
864	13.3638	80.407799	123.801697	12.9614
900	13.3252	81.874802	121.0299	12.62
936	13.2988	83.4244	118.153801	12.2853
972	13.3385	84.9981	115.256104	11.9406
1008	13.2961	86.619598	112.310097	11.5912
1044	13.2709	88.124802	109.349297	11.2446
1080	13.2856	89.587997	106.427399	10.8933
1116	13.3012	90.8535	103.490898	10.5477
1152	13.3175	92.205299	100.566399	10.2127
1188	13.3345	93.416496	97.6548	9.8821
1224	13.3214	94.670898	94.854103	9.5674
1260	13.3163	96.012199	92.072304	9.2561
1296	13.3263	97.3647	89.308701	8.9511
1332	13.317	98.551697	86.639198	8.6493
1368	13.3108	99.923401	84.041801	8.3645
1404	13.3465	101.187897	81.483498	8.0825
1440	13.3587	102.277	79.003502	7.8076
1476	13.3418	103.4506	76.585999	7.528
1512	13.3466	104.567902	74.245102	7.2735
1548	13.3778	105.645699	71.946297	7.0315
1584	13.343	106.713303	69.765099	6.7935
1620	13.3783	107.7005	67.632401	6.5542
1656	13.3205	108.987297	65.541496	6.337
1692	13.3342	110.093597	63.5075	6.1273
1728	13.32	111.273499	61.5741	5.9191
1764	13.313	112.333603	59.698299	5.7181
1800	13.3088	113.577301	57.875702	5.5249
1836	13.3315	114.3526	56.134701	5.3381
1872	13.3342	115.472603	54.426498	5.1562
1908	13.3493	116.478203	52.7798	4.9708
1944	13.3598	117.432198	51.181	4.8009
1980	13.3806	118.470802	49.6446	4.6264
2016	13.4002	119.344498	48.157101	4.4683
2052	13.3649	120.400803	46.7117	4.3184
2088	13.3609	121.544296	45.313599	4.1674
2124	13.3627	122.218597	43.9879	4.0211
2160	13.3274	123.313202	42.694801	3.8895
2196	13.3019	124.148201	41.457802	3.7567
2232	13.358	125.265404	40.256199	3.6289
2268	13.3586	126.007896	39.078098	3.5098
2304	13.3662	126.996696	37.949001	3.3962
2340	13.3081	128.220306	36.866901	3.2823
2376	13.2828	129.063202	35.814701	3.1782
2412	13.3365	129.887802	34.782299	3.0771
2448	13.2826	130.597595	33.780701	2.976
2484	13.2608	131.441803	32.840099	2.8751
2520	13.3067	132.296097	31.9165	2.7829
2556	13.3186	133.285004	31.0292	2.6943
2592	13.3749	134.297302	30.195299	2.6056
2628	13.4182	134.987305	29.3855	2.5178
2664	13.3895	135.784607	28.611	2.4324
2700	13.3704	136.572205	27.8388	2.3515
2736	13.3992	137.540497	27.1096	2.278
2772	13.3838	138.291107	26.409201	2.1976
2808	13.3548	139.306107	25.7311	2.127
2844	13.3395	139.901093	25.060699	2.0658
2880	13.3362	140.641006	24.4088	2.0038
2916	13.3512	141.571503	23.778799	1.9407
2952	13.3699	142.433502	23.1845	1.8781
2988	13.3183	143.348602	22.587	1.8198
3024	13.2885	143.973694	22.023899	1.7661
3060	13.3165	144.8125	21.481501	1.7149
3096	13.2867	145.528107	20.955999	1.6662
3132	13.2856	146.371902	20.4578	1.6182
3168	13.2774	147.121399	19.9865	1.5707
3204	13.358	147.822098	19.524	1.5281
3240	13.3652	148.528107	19.067301	1.4856
3276	13.3355	149.325302	18.630899	1.4413
3312	13.3683	150.179092	18.2187	1.3981
3348	13.3161	150.933807	17.831699	1.3622
3384	13.3411	151.579407	17.457001	1.3298
3420	13.3286	152.352295	17.0814	1.2932
3456	13.2764	153.0215	16.7323	1.2629
3492	13.2806	153.782806	16.3843	1.2289
3528	13.2641	154.768906	16.054001	1.2029
3564	13.2777	155.078796	15.7308	1.1757
3600	13.2659	156.098694	15.4298	1.1484
