step  Time    model_rna1        model_rna2        model_rna3        model_protein1        model_protein2        model_protein3        target_rna1        target_rna2        target_rna3        target_protein1        target_protein2        target_protein3        
0   0    0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   
1   1    7.221000   6.237000   3.267000   4.411000   2.824000   1.111000   4.492800   0.029400   0.351400   1.737400   0.006400   0.085000   
2   2    12.423000   8.901000   8.408000   13.337000   6.970000   5.015000   7.917000   0.178400   1.976800   5.405800   0.069000   0.880000   
3   3    16.232000   10.134000   11.299000   21.775999   10.432000   8.370000   10.966800   0.476600   4.665000   9.920000   0.251000   3.037400   
4   4    19.072001   10.586000   13.080000   28.915001   12.699000   10.573000   13.562600   0.935800   7.567400   14.710000   0.617800   6.383800   
5   5    20.836000   10.699000   13.859000   33.979000   14.046000   11.793000   15.834600   1.499000   10.083600   19.208599   1.168600   10.162200   
6   6    22.292999   10.781000   14.108000   37.852001   14.709000   12.399000   17.870800   2.088000   11.890400   23.331400   1.910600   13.917600   
7   7    23.212999   10.796000   13.892000   40.563000   15.151000   12.407000   19.545601   2.711000   12.852000   26.797400   2.763400   17.108000   
8   8    23.941999   10.797000   13.477000   42.502998   15.403000   12.322000   21.010401   3.335200   13.066200   30.050400   3.739800   19.173800   
9   9    24.757999   10.966000   13.047000   43.901001   15.730000   11.811000   22.285000   3.977400   12.723600   32.933201   4.735000   20.176201   
10   10    24.979000   10.949000   12.403000   45.223000   15.835000   11.390000   23.353600   4.604400   12.052800   35.216599   5.874000   20.466000   
11   11    25.275000   10.908000   11.612000   46.205002   15.876000   10.552000   24.264000   5.217200   11.143600   37.340199   6.938400   20.019600   
12   12    25.382000   10.699000   11.130000   46.418999   15.472000   9.845000   25.085400   5.772600   10.220800   38.996799   7.926400   18.963200   
13   13    25.642000   10.718000   10.413000   46.919998   15.431000   9.728000   25.737200   6.251600   9.295800   40.619202   8.861000   17.745199   
14   14    26.032000   10.715000   9.914000   47.396999   15.378000   9.035000   26.362000   6.760800   8.428800   41.971401   9.802000   16.403200   
15   15    25.958000   10.880000   9.340000   47.493999   15.526000   8.661000   26.896601   7.200400   7.651800   43.006199   10.659400   14.960400   
16   16    25.771000   10.726000   8.946000   47.429001   15.614000   8.202000   27.327000   7.588600   6.941000   43.980999   11.423400   13.659200   
17   17    25.865999   10.614000   8.397000   47.818001   15.486000   7.643000   27.680799   7.953400   6.287800   44.824001   12.103200   12.378000   
18   18    25.739000   10.752000   7.872000   47.770000   15.443000   7.185000   27.956200   8.281200   5.686400   45.559200   12.752600   11.247600   
19   19    25.888000   10.829000   7.534000   47.889999   15.527000   6.808000   28.197800   8.588400   5.208000   45.946400   13.348600   10.308400   
20   20    25.972000   10.720000   7.224000   48.019001   15.532000   6.444000   28.430599   8.837200   4.735600   46.524601   13.804000   9.407000   
21   21    25.777000   10.678000   7.019000   47.602001   15.556000   6.349000   28.716999   9.051600   4.352000   47.083599   14.280600   8.601200   
22   22    25.687000   10.789000   6.615000   47.515999   15.554000   6.068000   28.890200   9.257600   3.999200   47.480202   14.729800   7.847400   
23   23    25.781000   10.704000   6.325000   47.394001   15.220000   5.826000   29.082001   9.445800   3.711200   47.771000   15.115000   7.152800   
24   24    25.849001   10.722000   6.154000   47.368999   15.465000   5.556000   29.192801   9.600600   3.436000   48.019402   15.462000   6.639200   
25   25    25.728001   10.944000   5.981000   47.157001   15.535000   5.367000   29.297800   9.740000   3.222400   48.392200   15.831800   6.132400   
26   26    25.681000   10.797000   5.732000   47.071999   15.679000   5.227000   29.356800   9.892200   3.024600   48.595798   16.086000   5.713400   
27   27    25.989000   10.792000   5.567000   47.466000   15.555000   5.192000   29.462999   10.025000   2.851000   48.681000   16.406000   5.311600   
28   28    25.940001   10.940000   5.331000   47.348999   15.612000   4.722000   29.527201   10.125200   2.701600   48.657398   16.636999   5.059800   
29   29    26.225000   10.824000   5.041000   48.033001   15.510000   4.545000   29.578199   10.193000   2.510000   48.785400   16.719000   4.728200   
30   30    26.171000   10.694000   4.900000   48.469002   15.454000   4.447000   29.577801   10.269800   2.421400   48.895802   16.872000   4.452200   
31   31    26.087999   10.784000   4.738000   47.956001   15.567000   4.275000   29.668400   10.366400   2.314800   49.012798   17.037201   4.183800   
32   32    25.931000   10.809000   4.531000   48.089001   15.582000   4.223000   29.726801   10.471000   2.228800   49.202400   17.292999   4.000600   
33   33    25.962000   10.713000   4.299000   48.122002   15.698000   3.988000   29.804800   10.583600   2.147000   49.375801   17.444401   3.832000   
34   34    26.042999   10.679000   4.170000   47.853001   15.737000   3.815000   29.847401   10.629000   2.078000   49.479000   17.587601   3.705400   
35   35    25.900999   10.689000   4.069000   47.893002   15.595000   3.729000   29.842600   10.647600   1.997400   49.570202   17.667601   3.541000   
36   36    25.915001   10.590000   3.997000   47.964001   15.531000   3.531000   29.844000   10.696600   1.928800   49.678600   17.663799   3.420400   
37   37    25.983000   10.644000   3.897000   48.016998   15.309000   3.547000   29.952000   10.733400   1.864000   49.674198   17.791401   3.265200   
38   38    26.040001   10.774000   3.768000   47.881001   15.646000   3.353000   29.927000   10.729600   1.811600   49.697601   17.807199   3.155200   
39   39    26.216000   10.652000   3.650000   47.883999   15.545000   3.321000   29.913000   10.792000   1.764800   49.596802   17.897400   3.064800   
40   40    26.075001   10.770000   3.480000   48.076000   15.448000   3.099000   29.972200   10.860400   1.731600   49.467999   18.011000   2.965800   
41   41    26.240999   10.847000   3.430000   48.347000   15.387000   3.094000   29.980801   10.891600   1.716200   49.584999   18.015600   2.959400   
42   42    26.153000   10.778000   3.447000   48.341999   15.457000   3.068000   29.973400   10.896600   1.704200   49.722401   18.099199   2.890400   
43   43    26.069000   10.874000   3.413000   47.998001   15.436000   3.055000   29.972601   10.930800   1.695800   49.909599   18.062000   2.824200   
