time rna1_[0,0]_mean rna1_[0,0]_sd rna1_[0,0]_ci rna2_[0,0]_mean rna2_[0,0]_sd rna2_[0,0]_ci rna3_[0,0]_mean rna3_[0,0]_sd rna3_[0,0]_ci protein1_[0,0]_mean protein1_[0,0]_sd protein1_[0,0]_ci protein2_[0,0]_mean protein2_[0,0]_sd protein2_[0,0]_ci protein3_[0,0]_mean protein3_[0,0]_sd protein3_[0,0]_ci
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.000000 7.221000 2.778467 0.172417 6.237000 2.593754 0.160955 3.267000 2.322306 0.144110 4.411000 3.045547 0.188990 2.824000 2.047735 0.127072 1.111000 1.427837 0.088604
2.000000 12.423000 3.605700 0.223751 8.901000 3.016670 0.187199 8.408000 3.243464 0.201272 13.337000 5.408945 0.335650 6.970000 3.263089 0.202490 5.015000 2.965733 0.184038
3.000000 16.232000 4.045063 0.251015 10.134000 3.130150 0.194241 11.299000 4.301407 0.266922 21.776000 7.151851 0.443806 10.432000 4.169504 0.258737 8.370000 4.025581 0.249806
4.000000 19.072000 4.380640 0.271839 10.586000 3.302046 0.204907 13.080000 5.298648 0.328806 28.915000 8.100333 0.502664 12.699000 4.522926 0.280669 10.573000 5.007569 0.310743
5.000000 20.836000 4.631042 0.287378 10.699000 3.224717 0.200109 13.859000 6.088365 0.377812 33.979000 9.244567 0.573669 14.046000 4.676939 0.290226 11.793000 5.669594 0.351825
6.000000 22.293000 4.832443 0.299876 10.781000 3.256938 0.202108 14.108000 6.917093 0.429238 37.852000 9.621885 0.597083 14.709000 4.740970 0.294199 12.399000 6.487055 0.402552
7.000000 23.213000 5.003865 0.310513 10.796000 3.147744 0.195332 13.892000 7.622364 0.473003 40.563000 9.883001 0.613287 15.151000 4.855695 0.301319 12.407000 7.111394 0.441295
8.000000 23.942000 4.871588 0.302305 10.797000 3.246279 0.201447 13.477000 8.043642 0.499146 42.503000 10.203141 0.633153 15.403000 4.996554 0.310060 12.322000 7.814050 0.484898
9.000000 24.758000 5.017231 0.311343 10.966000 3.366032 0.208878 13.047000 8.430413 0.523147 43.901000 9.936596 0.616612 15.730000 5.056151 0.313758 11.811000 7.878029 0.488869
10.000000 24.979000 4.980498 0.309063 10.949000 3.419370 0.212188 12.403000 8.799205 0.546032 45.223000 10.284505 0.638202 15.835000 5.075582 0.314964 11.390000 8.115156 0.503583
11.000000 25.275000 5.059147 0.313944 10.908000 3.273263 0.203121 11.612000 8.888107 0.551549 46.205000 10.251052 0.636126 15.876000 5.402945 0.335278 10.552000 8.219176 0.510038
12.000000 25.382000 5.110009 0.317100 10.699000 3.356138 0.208264 11.130000 9.224760 0.572440 46.419000 10.443204 0.648050 15.472000 5.018406 0.311416 9.845000 8.290338 0.514454
13.000000 25.642000 4.964119 0.308047 10.718000 3.360918 0.208561 10.413000 9.195270 0.570610 46.920000 10.383517 0.644346 15.431000 4.947496 0.307015 9.728000 8.757094 0.543419
14.000000 26.032000 4.969877 0.308404 10.715000 3.303436 0.204994 9.914000 9.304901 0.577413 47.397000 10.082115 0.625642 15.378000 5.009812 0.310882 9.035000 8.635412 0.535868
15.000000 25.958000 5.021698 0.311620 10.880000 3.271743 0.203027 9.340000 9.276770 0.575667 47.494000 10.110004 0.627373 15.526000 4.922962 0.305493 8.661000 8.793486 0.545677
16.000000 25.771000 5.132729 0.318510 10.726000 3.234406 0.200710 8.946000 9.370640 0.581492 47.429000 10.419094 0.646554 15.614000 4.972296 0.308554 8.202000 8.730144 0.541746
17.000000 25.866000 5.033824 0.312372 10.614000 3.220462 0.199845 8.397000 9.201634 0.571004 47.818000 10.302768 0.639335 15.486000 4.970564 0.308447 7.643000 8.466950 0.525414
18.000000 25.739000 5.183024 0.321631 10.752000 3.190404 0.197979 7.872000 9.127263 0.566389 47.770000 10.718581 0.665138 15.443000 5.151630 0.319683 7.185000 8.471750 0.525712
19.000000 25.888000 5.182501 0.321598 10.829000 3.330894 0.206698 7.534000 9.104490 0.564976 47.890000 10.577986 0.656414 15.527000 5.146431 0.319360 6.808000 8.315063 0.515989
20.000000 25.972000 5.255934 0.326155 10.720000 3.167275 0.196544 7.224000 9.088367 0.563976 48.019000 10.694625 0.663652 15.532000 5.035507 0.312477 6.444000 8.223898 0.510331
21.000000 25.777000 5.145459 0.319300 10.678000 3.125073 0.193925 7.019000 9.046905 0.561403 47.602000 10.461216 0.649167 15.556000 4.981333 0.309115 6.349000 8.402130 0.521392
22.000000 25.687000 5.177242 0.321272 10.789000 3.364788 0.208801 6.615000 8.781793 0.544951 47.516000 10.679597 0.662719 15.554000 4.964850 0.308092 6.068000 8.189166 0.508176
23.000000 25.781000 5.004006 0.310522 10.704000 3.253147 0.201873 6.325000 8.680018 0.538636 47.394000 10.245083 0.635755 15.220000 4.914851 0.304990 5.826000 8.168258 0.506879
24.000000 25.849000 4.895525 0.303790 10.722000 3.296905 0.204588 6.154000 8.680993 0.538696 47.369000 10.510057 0.652198 15.465000 4.931845 0.306044 5.556000 8.090632 0.502062
25.000000 25.728000 5.156026 0.319956 10.944000 3.351133 0.207954 5.981000 8.746493 0.542761 47.157000 10.512415 0.652345 15.535000 5.101843 0.316593 5.367000 7.959753 0.493940
26.000000 25.681000 4.970306 0.308431 10.797000 3.278497 0.203446 5.732000 8.642040 0.536279 47.072000 10.379718 0.644110 15.679000 5.190270 0.322081 5.227000 7.925041 0.491786
27.000000 25.989000 4.768608 0.295914 10.792000 3.317490 0.205866 5.567000 8.664790 0.537691 47.466000 10.383673 0.644356 15.555000 4.981947 0.309153 5.192000 8.263863 0.512811
28.000000 25.940000 4.847463 0.300808 10.940000 3.407640 0.211460 5.331000 8.502572 0.527624 47.349000 10.188965 0.632273 15.612000 5.107793 0.316962 4.722000 7.478010 0.464046
29.000000 26.225000 5.169245 0.320776 10.824000 3.265837 0.202660 5.041000 8.263874 0.512812 48.033000 10.347898 0.642136 15.510000 5.045330 0.313086 4.545000 7.563278 0.469337
30.000000 26.171000 5.008877 0.310824 10.694000 3.224090 0.200070 4.900000 8.227253 0.510540 48.469000 10.288581 0.638455 15.454000 5.038181 0.312643 4.447000 7.526609 0.467061
31.000000 26.088000 5.128602 0.318254 10.784000 3.289706 0.204142 4.738000 8.196740 0.508646 47.956000 10.279384 0.637884 15.567000 5.238220 0.325056 4.275000 7.475912 0.463915
32.000000 25.931000 5.236187 0.324930 10.809000 3.357945 0.208376 4.531000 8.042744 0.499090 48.089000 10.632880 0.659820 15.582000 5.108951 0.317034 4.223000 7.536715 0.467688
33.000000 25.962000 5.363891 0.332855 10.713000 3.273430 0.203132 4.299000 7.812210 0.484784 48.122000 10.892280 0.675917 15.698000 4.908859 0.304618 3.988000 7.362477 0.456876
34.000000 26.043000 5.233597 0.324769 10.679000 3.346813 0.207685 4.170000 7.701975 0.477944 47.853000 10.597627 0.657632 15.737000 4.870889 0.302261 3.815000 7.109523 0.441179
35.000000 25.901000 5.281391 0.327735 10.689000 3.269705 0.202901 4.069000 7.654334 0.474987 47.893000 10.830182 0.672064 15.595000 5.226690 0.324341 3.729000 7.158128 0.444195
36.000000 25.915000 5.260175 0.326419 10.590000 3.187171 0.197779 3.997000 7.641032 0.474162 47.964000 11.063594 0.686548 15.531000 5.259154 0.326355 3.531000 6.881889 0.427053
37.000000 25.983000 4.916186 0.305072 10.644000 3.236934 0.200867 3.897000 7.567143 0.469577 48.017000 10.464426 0.649367 15.309000 4.938411 0.306452 3.547000 6.927755 0.429900
38.000000 26.040000 4.959334 0.307750 10.774000 3.301185 0.204854 3.768000 7.487205 0.464616 47.881000 10.350071 0.642270 15.646000 4.900275 0.304085 3.353000 6.800635 0.422011
39.000000 26.216000 4.939204 0.306501 10.652000 3.202366 0.198722 3.650000 7.405697 0.459558 47.884000 10.266837 0.637105 15.545000 4.707455 0.292120 3.321000 6.821913 0.423332
40.000000 26.075000 4.934950 0.306237 10.770000 3.270137 0.202927 3.480000 7.132073 0.442579 48.076000 10.180072 0.631721 15.448000 4.837220 0.300172 3.099000 6.356068 0.394424
41.000000 26.241000 4.759156 0.295328 10.847000 3.345562 0.207608 3.430000 7.107997 0.441085 48.347000 10.301588 0.639262 15.387000 4.885192 0.303149 3.094000 6.465831 0.401235
42.000000 26.153000 4.836422 0.300123 10.778000 3.249196 0.201628 3.447000 7.199655 0.446772 48.342000 10.716337 0.664999 15.457000 4.937462 0.306393 3.068000 6.556093 0.406836
43.000000 26.069000 5.000524 0.310306 10.874000 3.313171 0.205598 3.413000 7.248239 0.449787 47.998000 10.391245 0.644825 15.436000 4.880751 0.302873 3.055000 6.616930 0.410611
44.000000 25.938000 5.035823 0.312496 10.758000 3.406030 0.211360 3.281000 7.042275 0.437006 48.123000 10.175137 0.631415 15.621000 5.142354 0.319107 3.043000 6.597020 0.409376
45.000000 26.011000 5.145226 0.319285 10.806000 3.289861 0.204151 3.150000 6.892678 0.427723 48.008000 10.512395 0.652343 15.527000 5.080067 0.315242 2.887000 6.439075 0.399575
46.000000 26.029000 5.119020 0.317659 10.812000 3.248262 0.201570 3.093000 6.868153 0.426201 47.807000 10.307279 0.639615 15.533000 5.037289 0.312587 2.798000 6.322592 0.392346
47.000000 25.936000 5.175973 0.321193 10.814000 3.187721 0.197813 3.086000 6.927091 0.429858 48.036000 10.700711 0.664029 15.529000 5.011215 0.310969 2.786000 6.335641 0.393156
48.000000 26.018000 5.143942 0.319206 10.985000 3.307827 0.205266 3.070000 6.911503 0.428891 48.055000 10.726837 0.665651 15.604000 5.015210 0.311217 2.700000 6.201327 0.384821
49.000000 26.031000 5.132483 0.318495 10.801000 3.165030 0.196405 3.079000 6.904523 0.428458 48.098000 10.720696 0.665269 15.617000 5.072479 0.314771 2.707000 6.175702 0.383231
50.000000 26.008000 5.072047 0.314744 10.849000 3.275810 0.203279 3.065000 6.790647 0.421391 47.932000 10.983989 0.681608 15.678000 5.055480 0.313716 2.625000 6.083863 0.377532
