time	rna1	rna2	rna3	protein1	protein2	protein3
0	0	0	0	0	0	0
1	4.4928	0.0294	0.3514	1.7374	0.0064	0.085
2	7.917	0.1784	1.9768	5.4058	0.069	0.88
3	10.9668	0.4766	4.665	9.92	0.251	3.0374
4	13.5626	0.9358	7.5674	14.71	0.6178	6.3838
5	15.8346	1.499	10.0836	19.2086	1.1686	10.1622
6	17.8708	2.088	11.8904	23.3314	1.9106	13.9176
7	19.5456	2.711	12.852	26.7974	2.7634	17.108
8	21.0104	3.3352	13.0662	30.0504	3.7398	19.1738
9	22.285	3.9774	12.7236	32.9332	4.735	20.1762
10	23.3536	4.6044	12.0528	35.2166	5.874	20.466
11	24.264	5.2172	11.1436	37.3402	6.9384	20.0196
12	25.0854	5.7726	10.2208	38.9968	7.9264	18.9632
13	25.7372	6.2516	9.2958	40.6192	8.861	17.7452
14	26.362	6.7608	8.4288	41.9714	9.802	16.4032
15	26.8966	7.2004	7.6518	43.0062	10.6594	14.9604
16	27.327	7.5886	6.941	43.981	11.4234	13.6592
17	27.6808	7.9534	6.2878	44.824	12.1032	12.378
18	27.9562	8.2812	5.6864	45.5592	12.7526	11.2476
19	28.1978	8.5884	5.208	45.9464	13.3486	10.3084
20	28.4306	8.8372	4.7356	46.5246	13.804	9.407
21	28.717	9.0516	4.352	47.0836	14.2806	8.6012
22	28.8902	9.2576	3.9992	47.4802	14.7298	7.8474
23	29.082	9.4458	3.7112	47.771	15.115	7.1528
24	29.1928	9.6006	3.436	48.0194	15.462	6.6392
25	29.2978	9.74	3.2224	48.3922	15.8318	6.1324
26	29.3568	9.8922	3.0246	48.5958	16.086	5.7134
27	29.463	10.025	2.851	48.681	16.406	5.3116
28	29.5272	10.1252	2.7016	48.6574	16.637	5.0598
29	29.5782	10.193	2.51	48.7854	16.719	4.7282
30	29.5778	10.2698	2.4214	48.8958	16.872	4.4522
31	29.6684	10.3664	2.3148	49.0128	17.0372	4.1838
32	29.7268	10.471	2.2288	49.2024	17.293	4.0006
33	29.8048	10.5836	2.147	49.3758	17.4444	3.832
34	29.8474	10.629	2.078	49.479	17.5876	3.7054
35	29.8426	10.6476	1.9974	49.5702	17.6676	3.541
36	29.844	10.6966	1.9288	49.6786	17.6638	3.4204
37	29.952	10.7334	1.864	49.6742	17.7914	3.2652
38	29.927	10.7296	1.8116	49.6976	17.8072	3.1552
39	29.913	10.792	1.7648	49.5968	17.8974	3.0648
40	29.9722	10.8604	1.7316	49.468	18.011	2.9658
41	29.9808	10.8916	1.7162	49.585	18.0156	2.9594
42	29.9734	10.8966	1.7042	49.7224	18.0992	2.8904
43	29.9726	10.9308	1.6958	49.9096	18.062	2.8242
44	29.9638	10.9186	1.6806	49.8208	18.1056	2.8226
45	29.9216	10.9104	1.6792	49.8328	18.129	2.7966
