/home/jvb/workspaces/workspace/infobiotics-dashboard/infobiotics/__init__.py:5: UserWarning: Module infobiotics was already imported from /home/jvb/workspaces/workspace/infobiotics-dashboard/infobiotics/__init__.pyc, but /usr/lib/pymodules/python2.7 is being added to sys.path
  __import__('pkg_resources').declare_namespace(__name__)
reactions time     state
0         0.000000 [10, 20, 30]
1         0.000069 [9, 21, 29]	S1 + S3 5.0-> S2
2         0.000679 [10, 19, 29]	S2 + S2 3.0-> S1
3         0.001031 [9, 20, 28]	S1 + S3 5.0-> S2
4         0.001142 [8, 21, 27]	S1 + S3 5.0-> S2
5         0.002935 [7, 22, 26]	S1 + S3 5.0-> S2
6         0.003384 [8, 20, 26]	S2 + S2 3.0-> S1
7         0.006670 [9, 18, 26]	S2 + S2 3.0-> S1
8         0.006842 [8, 19, 25]	S1 + S3 5.0-> S2
9         0.006873 [7, 20, 24]	S1 + S3 5.0-> S2
10        0.008989 [8, 18, 24]	S2 + S2 3.0-> S1
11        0.009359 [7, 17, 25]	S1 + S2 1.0-> S3
12        0.010000 [7, 17, 24]	S3 4.0-> 
13        0.010589 [6, 18, 23]	S1 + S3 5.0-> S2
14        0.011704 [5, 17, 24]	S1 + S2 1.0-> S3
15        0.012293 [4, 18, 23]	S1 + S3 5.0-> S2
16        0.013644 [3, 19, 22]	S1 + S3 5.0-> S2
17        0.014429 [2, 20, 21]	S1 + S3 5.0-> S2
18        0.018668 [3, 18, 21]	S2 + S2 3.0-> S1
19        0.019309 [4, 16, 21]	S2 + S2 3.0-> S1
20        0.021118 [5, 14, 21]	S2 + S2 3.0-> S1
21        0.021276 [5, 14, 20]	S3 4.0-> 
22        0.022466 [4, 15, 19]	S1 + S3 5.0-> S2
23        0.022875 [5, 13, 19]	S2 + S2 3.0-> S1
24        0.023888 [5, 13, 18]	S3 4.0-> 
25        0.024374 [6, 11, 18]	S2 + S2 3.0-> S1
26        0.025003 [5, 12, 17]	S1 + S3 5.0-> S2
27        0.025225 [6, 10, 17]	S2 + S2 3.0-> S1
28        0.025908 [5, 11, 16]	S1 + S3 5.0-> S2
29        0.027972 [4, 10, 17]	S1 + S2 1.0-> S3
30        0.029478 [5, 8, 17]	S2 + S2 3.0-> S1
31        0.030447 [4, 9, 16]	S1 + S3 5.0-> S2
32        0.031190 [5, 7, 16]	S2 + S2 3.0-> S1
33        0.032650 [4, 8, 15]	S1 + S3 5.0-> S2
34        0.033174 [3, 9, 14]	S1 + S3 5.0-> S2
35        0.035490 [2, 10, 13]	S1 + S3 5.0-> S2
36        0.045876 [3, 8, 13]	S2 + S2 3.0-> S1
37        0.046861 [2, 7, 14]	S1 + S2 1.0-> S3
38        0.048760 [2, 7, 13]	S3 4.0-> 
39        0.055542 [1, 8, 12]	S1 + S3 5.0-> S2
40        0.055631 [2, 6, 12]	S2 + S2 3.0-> S1
41        0.058349 [3, 4, 12]	S2 + S2 3.0-> S1
42        0.063965 [3, 4, 11]	S3 4.0-> 
43        0.064167 [2, 5, 10]	S1 + S3 5.0-> S2
44        0.068444 [1, 6, 9]	S1 + S3 5.0-> S2
45        0.072933 [0, 7, 8]	S1 + S3 5.0-> S2
46        0.126187 [0, 7, 7]	S3 4.0-> 
47        0.128315 [0, 7, 6]	S3 4.0-> 
48        0.131691 [0, 7, 5]	S3 4.0-> 
49        0.139414 [0, 7, 4]	S3 4.0-> 
50        0.149946 [1, 5, 4]	S2 + S2 3.0-> S1
51        0.151853 [0, 4, 5]	S1 + S2 1.0-> S3
52        0.192109 [0, 4, 4]	S3 4.0-> 
53        0.212214 [1, 2, 4]	S2 + S2 3.0-> S1
54        0.236890 [0, 3, 3]	S1 + S3 5.0-> S2
55        0.257431 [0, 3, 2]	S3 4.0-> 
56        0.298513 [0, 3, 1]	S3 4.0-> 
57        0.396606 [1, 3, 1]	 2.0-> S1
58        0.419957 [0, 2, 2]	S1 + S2 1.0-> S3
59        0.437272 [0, 2, 1]	S3 4.0-> 
60        0.459806 [0, 2, 0]	S3 4.0-> 
61        0.494261 [1, 2, 0]	 2.0-> S1
62        0.849418 [2, 0, 0]	S2 + S2 3.0-> S1
