time protein1_[0,0]_mean protein1_[0,0]_sd protein1_[0,0]_ci rna1_[0,0]_mean rna1_[0,0]_sd rna1_[0,0]_ci
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10.000000 70.869000 31.847953 1.976315 3.808000 1.698240 0.105384
20.000000 115.897000 49.873217 3.094867 3.627000 1.603884 0.099529
30.000000 140.100000 59.427044 3.687727 3.466000 1.526163 0.094706
40.000000 151.274000 63.743205 3.955565 3.259000 1.472443 0.091372
50.000000 153.695000 63.868969 3.963369 3.089000 1.421654 0.088220
60.000000 152.265000 64.810718 4.021809 2.919000 1.417197 0.087944
70.000000 148.360000 64.070504 3.975875 2.743000 1.335940 0.082901
80.000000 141.911000 62.145049 3.856391 2.588000 1.313766 0.081525
90.000000 135.200000 59.984699 3.722332 2.475000 1.234057 0.076579
100.000000 129.202000 58.285593 3.616894 2.389000 1.226043 0.076082
110.000000 123.948000 56.548537 3.509102 2.262000 1.201166 0.074538
120.000000 118.750000 54.839008 3.403017 2.201000 1.179827 0.073214
130.000000 114.614000 53.217037 3.302367 2.118000 1.164230 0.072246
140.000000 110.372000 52.411989 3.252410 2.065000 1.138451 0.070646
150.000000 107.095000 50.782486 3.151291 2.011000 1.112707 0.069049
160.000000 104.634000 49.837615 3.092658 2.006000 1.110494 0.068911
170.000000 102.587000 48.825694 3.029863 1.987000 1.123429 0.069714
180.000000 101.168000 47.440198 2.943887 1.984000 1.083937 0.067263
190.000000 100.668000 47.150662 2.925920 1.978000 1.092112 0.067771
200.000000 99.846000 46.901664 2.910468 1.982000 1.092185 0.067775
210.000000 99.483000 46.532365 2.887551 1.967000 1.081240 0.067096
220.000000 99.061000 46.866190 2.908267 1.958000 1.094273 0.067905
230.000000 98.423000 46.985122 2.915647 1.972000 1.080918 0.067076
240.000000 97.983000 46.302642 2.873296 1.988000 1.079361 0.066979
250.000000 98.391000 45.733201 2.837959 1.960000 1.078686 0.066938
260.000000 98.780000 46.119004 2.861900 1.981000 1.076940 0.066829
270.000000 99.167000 46.051709 2.857724 1.997000 1.101001 0.068322
280.000000 98.998000 46.493953 2.885168 1.974000 1.094771 0.067936
290.000000 99.419000 46.872000 2.908627 1.957000 1.095605 0.067987
300.000000 98.541000 47.037334 2.918887 1.976000 1.082865 0.067197
310.000000 98.779000 46.306527 2.873537 1.986000 1.082116 0.067150
320.000000 98.652000 45.766292 2.840013 1.968000 1.085428 0.067356
330.000000 98.069000 45.680860 2.834711 1.961000 1.103946 0.068505
340.000000 97.854000 45.780351 2.840885 1.980000 1.071797 0.066510
350.000000 98.113000 45.762216 2.839760 1.973000 1.055170 0.065478
360.000000 98.466000 44.877442 2.784856 1.983000 1.046808 0.064959
